seed_ix,seed_iy,mu_GeV,sigma_GeV,n,mu_over_Ebeam,status
4,-2,3.3539637305978216,0.02365249222905162,18,0.8963024400314863,1
3,2,3.0454750939342055,0.024464847933563145,8,0.8138629326387508,0
10,2,2.8891979369212257,0.018104681722466914,6,0.7720999296956776,0
-2,2,3.55,0.10104146839508323,15,0.948690539818279,1
-13,2,3.6299282459475943,0.25212682405901615,5,0.9700503062393357,1
-13,-2,2.818071746277138,0.24776148999932573,4,0.7530923961189573,1
-18,-2,3.515545419104427,0.2495673414801828,1,0.9394830088467202,1
3,-2,2.799234159861696,0.24823645693628832,3,0.7480583003371716,1
6,-2,3.1465084871336173,0.23776801668920106,10,0.8408627704793205,1
11,-2,0.0,0.0,0,0.0,-1
